Edition,Report Type,Measure Name,State Name,Rank,Value,Score,LowerCI,UpperCI,Source,Source Year
"2022","2022 Annual","Social and Economic Factors","Tennessee",40,-0.321,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Community and Family Safety - Annual","Tennessee",50,-1.118,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Firearm Deaths ","Tennessee",40,21.5,,20.4,22.6,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Female","Tennessee","",6.3,,5.4,7.1,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Male","Tennessee",40,37.8,,35.7,39.9,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 15-24","Tennessee","",32.4,,28.6,36.2,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 25-34","Tennessee","",33.6,,29.9,37.2,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 35-44","Tennessee","",27.6,,24.1,31.1,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 45-54","Tennessee","",22.9,,19.7,26.1,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 55-64","Tennessee","",19.8,,16.9,22.7,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 65-74","Tennessee","",15.9,,12.9,18.8,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 75-84","Tennessee","",22.5,,17.8,28,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Ages 85+","Tennessee","",29.9,,21,41.2,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - American Indian/Alaska Native","Tennessee","","",,"","","CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Asian","Tennessee","","",,"","","CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Black","Tennessee","",42.7,,39.1,46.4,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Hawaiian/Pacific Islander","Tennessee","","",,"","","CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Hispanic","Tennessee","",9.9,,7.2,13.2,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - Multiracial","Tennessee","","",,"","","CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Firearm Deaths - White","Tennessee","",16.8,,15.7,17.9,"CDC WONDER, Multiple Cause of Death Files","2020"
"2022","2022 Annual","Occupational Fatalities","Tennessee",41,6,,5.3,6.7,"U.S. Bureau of Labor Statistics, Census of Fatal Occupational Injuries","2018-2020"
"2022","2022 Annual","Public Health Funding","Tennessee",26,122,,"","","CDC, HRSA and Trust for America's Health","2019-2020"
"2022","2022 Annual","Violent Crime","Tennessee",48,673,,"","","Federal Bureau of Investigation, Uniform Crime Reporting Program","2020"
"2022","2022 Annual","Economic Resources - Annual","Tennessee",36,-0.019,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Economic Hardship Index","Tennessee",34,59,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Crowded Housing","Tennessee",21,2.1,,1.9,2.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Dependency","Tennessee",20,39.1,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Less Than High School Education","Tennessee",33,10.3,,10,10.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Per Capita Income","Tennessee",39,33904,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Poverty","Tennessee",39,13.8,,13.4,14.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Unemployment","Tennessee",18,5.3,,5,5.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Crowded Housing","Tennessee",21,2.1,,1.9,2.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Crowded Housing - Black","Tennessee","",2.5,,1.9,3.1,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Crowded Housing - Hispanic","Tennessee","",9.6,,7.3,11.9,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Crowded Housing - White","Tennessee",26,1.3,,1.1,1.5,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Dependency","Tennessee",20,39.1,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Dependency - Black","Tennessee",20,35.8,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Dependency - Hispanic","Tennessee",46,42.8,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Dependency - White","Tennessee",16,38.9,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Less Than High School Education","Tennessee",33,10.3,,10,10.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Education - Less Than High School - Black","Tennessee",27,12.8,,11.9,13.7,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Education - Less Than High School - Hispanic","Tennessee",46,36.9,,34.4,39.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Education - Less Than High School - White","Tennessee",45,10.4,,10,10.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Per Capita Income","Tennessee",39,33904,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Per Capita Income - Black","Tennessee",26,22614,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Per Capita Income - Hispanic","Tennessee",47,17043,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Per Capita Income - White","Tennessee",42,34377,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Poverty","Tennessee",39,13.8,,13.4,14.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Unemployment","Tennessee",18,5.3,,5,5.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Unemployment - Black","Tennessee","",10.2,,9,11.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Unemployment - Hispanic","Tennessee",4,4.3,,3.3,5.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Unemployment - White","Tennessee",21,4.5,,4.2,4.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Food Insecurity","Tennessee",35,11.2,,9.8,12.6,"U.S. Department of Agriculture, Household Food Security in the United States Report","2019-2021"
"2022","2022 Annual","Homeownership","Tennessee",27,67.5,,66.9,68.1,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - American Indian/Alaska Native","Tennessee","",62.2,,52.2,72.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Asian","Tennessee",34,59.2,,55,63.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Black","Tennessee","",44.1,,42.6,45.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Hawaiian/Pacific Islander","Tennessee","","",,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Hispanic","Tennessee",40,45.4,,41.8,49,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Multiracial","Tennessee",40,52.9,,50.8,55,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Other Race","Tennessee",36,46.1,,42.2,50,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - White","Tennessee",23,74.2,,73.6,74.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership Racial Disparity","Tennessee",13,30.1,,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - American Indian/Alaska Native","Tennessee","",62.2,,52.2,72.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Asian","Tennessee",34,59.2,,55,63.4,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Black","Tennessee","",44.1,,42.6,45.6,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Hawaiian/Pacific Islander","Tennessee","","",,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Hispanic","Tennessee",40,45.4,,41.8,49,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Multiracial","Tennessee",40,52.9,,50.8,55,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - Other Race","Tennessee",36,46.1,,42.2,50,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Homeownership - White","Tennessee",23,74.2,,73.6,74.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Income Inequality","Tennessee",26,4.68,,4.55,4.81,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Education - Annual","Tennessee",9,0.557,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Fourth Grade Reading Proficiency","Tennessee",36,30.2,,"","","U.S. Department of Education, National Center for Education Statistics, National Assessment of Educational Progress","2022"
"2022","2022 Annual","Fourth Grade Reading Proficiency - American Indian/Alaska Native","Tennessee","","",,"","","U.S. Department of Education, National Center for Education Statistics, National Assessment of Educational Progress","2022"
"2022","2022 Annual","Fourth Grade Reading Proficiency - Asian/Pacific Islander","Tennessee","","",,"","","U.S. Department of Education, National Center for Education Statistics, National Assessment of Educational Progress","2022"
"2022","2022 Annual","Fourth Grade Reading Proficiency - Black","Tennessee","",13.4,,"","","U.S. Department of Education, National Center for Education Statistics, National Assessment of Educational Progress","2022"
"2022","2022 Annual","Fourth Grade Reading Proficiency - Hispanic","Tennessee","",22.2,,"","","U.S. Department of Education, National Center for Education Statistics, National Assessment of Educational Progress","2022"
"2022","2022 Annual","Fourth Grade Reading Proficiency - White","Tennessee",33,37.3,,"","","U.S. Department of Education, National Center for Education Statistics, National Assessment of Educational Progress","2022"
"2022","2022 Annual","High School Completion","Tennessee",33,89.7,,88.9,90.5,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Female","Tennessee",33,90.8,,89.7,91.9,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Male","Tennessee",33,88.6,,87.4,89.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - American Indian/Alaska Native","Tennessee","",79.1,,59,99.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Asian","Tennessee",29,87,,79.5,94.5,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Black","Tennessee","",88.2,,85.6,90.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Hawaiian/Pacific Islander","Tennessee","",96.1,,19.9,172.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Hispanic","Tennessee",44,67.2,,63.2,71.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Multiracial","Tennessee",27,83.9,,78,89.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - Other Race","Tennessee",46,60.7,,53.2,68.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Completion - White","Tennessee",45,91.4,,90.5,92.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High School Graduation","Tennessee",6,90.5,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - American Indian/Alaska Native","Tennessee","",90,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - Asian/Pacific Islander","Tennessee","",95,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - Black","Tennessee",5,84.6,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - Hispanic","Tennessee",11,84.4,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - White","Tennessee",4,93.4,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation Racial Disparity","Tennessee",9,9,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - American Indian/Alaska Native","Tennessee","",90,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - Asian/Pacific Islander","Tennessee","",95,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - Black","Tennessee",5,84.6,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - Hispanic","Tennessee",11,84.4,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","High School Graduation - White","Tennessee",4,93.4,,"","","U.S. Department of Education, National Center for Education Statistics, Common Core of Data","2018-2019 School Year"
"2022","2022 Annual","Social Support and Engagement - Annual","Tennessee",44,-0.775,,"","","America's Health Rankings composite measure","2022"
"2022","2022 Annual","Adverse Childhood Experiences","Tennessee",44,18.8,,16,21.5,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Discrimination - Race or Ethnicity","Tennessee",23,4.6,,3.1,6.1,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Discrimination - Sexual Orientation or Gender Identity","Tennessee",3,0.9,,0.3,1.5,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Domestic Violence","Tennessee",39,6.6,,4.7,8.4,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Mental Illness in Household","Tennessee",23,8.8,,6.9,10.6,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Neighborhood Violence","Tennessee",41,4.8,,3.1,6.4,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Parent or Guardian Death","Tennessee",49,4.6,,3.1,6.1,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Parent or Guardian Divorce or Separation","Tennessee",32,24.8,,21.8,27.8,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Parent or Guardian Time in Jail","Tennessee",48,11.4,,9,13.7,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","Substance Misuse in Household","Tennessee",37,10.8,,8.7,12.9,"National Survey of Children's Health, U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB)","2020-2021"
"2022","2022 Annual","High-speed Internet","Tennessee",40,90.8,,90.4,91.2,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - American Indian/Alaska Native","Tennessee","",85.5,,79.3,91.7,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - Asian","Tennessee","",97.7,,96.5,98.9,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - Black","Tennessee","",89.9,,88.9,90.9,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - Hawaiian/Pacific Islander","Tennessee","","",,"","","U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - Hispanic","Tennessee",42,89.9,,88,91.8,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - Multiracial","Tennessee",44,90.8,,89.5,92.1,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - Other Race","Tennessee","",91.6,,89.2,94,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","High-speed Internet - White","Tennessee",42,90.8,,90.3,91.3,"U.S. Census Bureau, American Community Survey","2021"
"2022","2022 Annual","Residential Segregation - Black/White","Tennessee",34,68,,"","","U.S. Census Bureau, American Community Survey","2016-2020"
"2022","2022 Annual","Volunteerism","Tennessee",32,33,,"","","U.S. Census Bureau, Current Population Survey, Volunteering and Civic Life Supplement","2019"
"2022","2022 Annual","Voter Participation (Average)","Tennessee",34,58,,53.8,62.2,"U.S. Census Bureau, Current Population Survey, Voting and Registration Supplement","2018/2020"
